time	diversity	m_div	M_div
65.74468503210234	0.1	0	1
65.8448861899809	0.5	0	2
65.94508734785944	3.6	1	6
66.045288505738	10.4	7	13
66.14548966361656	14.7	10	18
66.2456908214951	17.6	15	20
66.34589197937366	19.0	15	21
66.44609313725222	20.6	15	23
66.54629429513076	21.0	15	24
66.64649545300932	21.3	18	24
66.74669661088787	22.3	19	26
66.84689776876642	22.3	19	26
66.94709892664498	22.5	20	26
67.04730008452353	23.1	21	27
67.14750124240209	23.2	21	27
67.24770240028064	23.3	21	27
67.34790355815919	23.9	20	28
67.44810471603775	24.1	20	27
67.5483058739163	23.8	21	27
67.64850703179485	23.8	21	27
67.74870818967341	23.9	21	27
67.84890934755197	23.9	19	27
67.94911050543051	24.0	20	26
68.04931166330907	24.4	20	27
68.14951282118763	23.8	21	26
68.24971397906617	24.9	22	28
68.34991513694473	26.1	23	29
68.45011629482329	26.6	22	29
68.55031745270183	27.0	24	29
68.65051861058039	27.0	24	29
68.75071976845894	26.7	24	30
68.8509209263375	26.5	24	30
68.95112208421605	26.8	23	30
69.0513232420946	28.0	25	31
69.15152439997316	28.8	27	32
69.25172555785171	28.9	25	33
69.35192671573026	29.0	25	33
69.45212787360882	29.9	26	34
69.55232903148737	30.0	26	34
69.65253018936592	30.2	27	33
69.75273134724448	31.5	29	35
69.85293250512304	31.6	29	35
69.95313366300158	30.9	28	35
70.05333482088014	31.8	28	35
70.1535359787587	32.0	29	35
70.25373713663724	32.2	29	35
70.3539382945158	32.1	28	36
70.45413945239434	31.3	28	35
70.5543406102729	31.1	28	36
70.65454176815146	31.9	28	38
70.75474292603	32.0	28	37
70.85494408390856	31.7	28	37
70.95514524178712	31.3	27	37
71.05534639966567	31.9	27	38
71.15554755754422	33.3	29	39
71.25574871542278	32.7	28	37
71.35594987330133	33.2	28	37
71.45615103117989	33.3	29	39
71.55635218905844	33.2	29	39
71.65655334693699	32.8	30	37
71.75675450481555	32.4	29	36
71.8569556626941	32.5	29	39
71.95715682057265	33.4	29	41
72.05735797845121	34.2	28	38
72.15755913632975	34.5	31	37
72.25776029420831	34.2	31	37
72.35796145208687	33.8	28	37
72.45816260996541	33.4	29	36
72.55836376784397	33.5	29	37
72.65856492572253	33.3	29	36
72.75876608360107	32.0	29	36
72.85896724147963	32.3	28	38
72.95916839935819	33.7	29	38
73.05936955723674	35.4	31	41
73.1595707151153	36.5	33	41
73.25977187299385	36.6	32	41
73.3599730308724	36.8	31	43
73.46017418875095	36.4	31	41
73.56037534662951	35.6	30	40
73.66057650450806	35.8	30	40
73.76077766238662	36.3	31	40
73.86097882026516	37.2	33	41
73.96117997814372	37.8	30	43
74.06138113602228	36.9	29	43
74.16158229390084	37.1	34	43
74.26178345177938	37.1	32	41
74.36198460965794	37.2	33	40
74.46218576753648	37.5	35	43
74.56238692541504	38.8	34	44
74.6625880832936	38.5	35	42
74.76278924117214	39.3	36	43
74.8629903990507	41.2	37	47
74.96319155692926	41.9	36	48
75.0633927148078	42.4	39	50
75.16359387268636	41.4	37	46
75.26379503056492	40.8	38	51
75.36399618844347	40.7	36	46
75.46419734632202	42.2	39	46
75.56439850420057	43.2	39	47
75.66459966207913	44.8	40	48
75.76480081995769	47.1	42	52
75.86500197783624	50.2	45	54
75.96520313571479	53.2	48	56
76.06540429359335	53.9	50	57
76.16560545147189	54.9	53	59
76.26580660935045	56.0	54	59
76.36600776722901	56.1	54	58
76.46620892510755	55.5	54	58
76.56641008298611	53.8	52	56
76.66661124086467	51.6	49	54
76.76681239874321	48.7	46	53
76.86701355662177	47.1	42	53
76.96721471450033	46.7	42	52
77.06741587237887	44.8	40	49
77.16761703025743	41.8	37	44
77.26781818813599	38.7	34	42
77.36801934601453	37.7	33	40
77.4682205038931	37.0	32	41
77.56842166177165	36.7	34	39
77.6686228196502	35.5	30	38
77.76882397752875	34.6	30	38
77.8690251354073	34.4	28	38
77.96922629328586	34.3	29	37
78.06942745116442	35.0	29	37
78.16962860904296	34.8	28	39
78.26982976692152	34.8	30	38
78.37003092480008	34.0	31	38
78.47023208267862	33.7	32	36
78.57043324055718	33.8	31	37
78.67063439843574	34.6	32	38
78.77083555631428	34.2	31	38
78.87103671419284	33.9	30	36
78.9712378720714	33.5	31	36
79.07143902994994	33.1	29	35
79.1716401878285	32.7	29	35
79.27184134570706	32.0	29	35
79.3720425035856	31.6	29	34
79.47224366146416	31.3	29	34
79.5724448193427	30.9	29	34
79.67264597722126	30.5	28	33
79.77284713509982	30.4	27	32
79.87304829297837	29.9	28	32
79.97324945085693	30.0	28	32
80.07345060873548	29.9	28	32
80.17365176661403	29.8	28	32
80.27385292449259	29.5	27	31
80.37405408237115	28.9	26	31
80.47425524024969	28.8	26	32
80.57445639812825	27.9	25	32
80.6746575560068	27.6	25	31
80.77485871388535	27.1	25	31
80.87505987176391	26.0	23	29
80.97526102964247	25.4	22	28
81.07546218752101	24.6	22	28
81.17566334539957	24.4	21	28
81.27586450327811	24.4	22	28
81.37606566115667	24.2	22	27
81.47626681903523	24.0	22	28
81.57646797691379	23.2	21	27
81.67666913479233	22.6	20	27
81.77687029267089	22.2	20	27
81.87707145054944	21.8	20	27
81.977272608428	21.3	18	25
82.07747376630655	20.9	18	24
82.1776749241851	20.7	18	24
82.27787608206366	20.4	18	24
82.37807723994221	20.7	18	25
82.47827839782076	20.5	18	24
82.57847955569932	19.9	17	24
82.67868071357788	18.7	15	23
82.77888187145642	18.5	15	23
82.87908302933498	17.9	15	22
82.97928418721352	17.6	15	22
83.07948534509208	16.9	15	21
83.17968650297064	16.3	13	20
83.2798876608492	15.8	13	19
83.38008881872774	15.4	11	19
83.4802899766063	15.2	11	19
83.58049113448484	15.0	10	20
83.6806922923634	14.9	9	21
83.78089345024196	15.1	9	21
83.8810946081205	14.6	9	20
83.98129576599906	13.9	8	19
84.08149692387762	13.4	5	19
84.18169808175617	12.8	6	19
84.28189923963473	11.6	7	17
84.38210039751328	11.1	7	16
84.48230155539183	10.3	7	16
84.58250271327039	9.1	7	14
84.68270387114893	8.6	7	14
84.78290502902749	7.3	5	11
84.88310618690605	6.5	3	12
84.9833073447846	6.3	3	10
85.08350850266315	5.3	3	7
85.18370966054171	5.1	2	7
85.28391081842025	4.9	2	7
85.38411197629881	4.6	2	7
85.48431313417737	4.7	3	7
85.58451429205593	4.5	3	7
85.68471544993447	4.6	3	6
85.78491660781303	4.5	3	6
85.88511776569158	4.5	2	7
85.98531892357013	4.7	2	8
86.08552008144869	5.0	2	8
86.18572123932724	5.1	2	8
86.2859223972058	5.2	2	7
86.38612355508434	5.4	2	8
86.4863247129629	5.9	3	9
86.58652587084146	6.0	3	9
86.68672702872001	6.1	3	9
86.78692818659856	5.9	3	9
86.88712934447712	6.1	4	9
86.98733050235566	5.9	4	8
87.08753166023422	6.0	4	8
87.18773281811278	5.9	5	7
87.28793397599134	6.0	5	8
87.38813513386988	5.9	5	8
87.48833629174844	5.8	5	7
87.58853744962698	5.9	5	7
87.68873860750554	6.0	5	8
87.7889397653841	6.0	4	8
87.88914092326264	6.1	4	8
87.9893420811412	6.4	4	9
88.08954323901975	6.6	4	9
88.1897443968983	6.7	3	10
88.28994555477686	6.7	3	10
88.39014671265542	6.7	3	10
88.49034787053397	6.6	3	10
88.59054902841252	6.9	3	10
88.69075018629107	7.0	3	10
88.79095134416963	7.0	3	10
88.89115250204819	7.1	3	10
88.99135365992674	7.1	3	10
89.09155481780529	7.1	3	10
89.19175597568385	7.0	3	9
89.29195713356239	6.6	3	9
89.39215829144095	6.8	4	10
89.49235944931951	7.0	4	10
89.59256060719805	6.9	4	9
89.69276176507661	7.0	5	10
89.79296292295516	7.0	5	10
89.89316408083371	7.1	5	10
