Country;1940;1950;1960;1970;1980
Australia;0.56753528;0.65789616;0.65613014;0.69986659;0.63517493
Austria;0.41761169;0.45232725;0.46305203;0.43895108;0.52281278
Belgium;0.65890604;0.73557985;0.73062617;0.76457602;0.70342898
Canada;0.82627332;0.83883685;0.81291884;0.82540399;0.77670246
Croatia;0.65475595;0.727974;0.70337814;0.59951442;0.58145016
Czech Republic;0.27312693;0.24851546;0.24653506;0.23346004;0.34646162
Denmark;0.60502505;0.69942462;0.65125948;0.66416162;0.70163
Estonia;0.83753037;0.75615114;0.6447373;0.51158899;0.4887602
Finland;0.76274222;0.80179876;0.82142401;0.71953672;0.62003565
France;0.62360805;0.68206239;0.78405482;0.78425848;0.74572867
Germany;0.35669455;0.38071001;0.39305791;0.39641672;0.47335163
Greece;0.58863825;0.70765382;0.82948422;0.80862802;0.74511808
Ireland;0.65329206;0.78424191;0.80699736;0.77708596;0.78343529
Israel;0.74274868;0.79370326;0.81564647;0.76601708;0.64904922
Italy;0.67637557;0.80529636;0.75439215;0.72370493;0.60677826
Japan;0.83267784;0.86377019;0.7381804;0.58651918;0.62959707
Netherlands;0.67465049;0.70940197;0.73139906;0.70223564;0.72479385
New Zealand;0.53529412;0.56281406;0.55851066;0.68103451;0.68103451
Norway;0.6658113;0.66978681;0.64402986;0.66081017;0.66373128
Poland;0.78966856;0.67787987;0.53191733;0.5455687;0.65438718
Portugal;0.56520635;0.61237293;0.62288469;0.73851866;0.78548419
Spain;0.55922782;0.7603519;0.86066371;0.85717732;0.78904879
Sweden;0.85290682;0.83396959;0.7663182;0.71020687;0.68086714
Switzerland;0.55204761;0.61383641;0.61557734;0.62819749;0.55591899
United Kingdom;0.59433472;0.68369263;0.74221975;0.7200942;0.70119905
United States;0.6978187;0.667373;0.61161494;0.6150409;0.59558153
