city;year;weekofyear;week_start_date;station_max_temp_c;station_min_temp_c;station_precip_mm;total_cases
sj;1990;18;30/04/1990;29.4;20.0;16.0;4
sj;1990;19;07/05/1990;31.7;22.2;8.6;5
sj;1990;20;14/05/1990;32.2;22.8;41.4;4
sj;1990;21;21/05/1990;33.3;23.3;4.0;3
sj;1990;22;28/05/1990;35.0;23.9;5.8;6
sj;1990;23;04/06/1990;34.4;23.9;39.1;2
sj;1990;24;11/06/1990;32.2;23.3;29.7;4
sj;1990;25;18/06/1990;33.9;22.8;21.1;5
sj;1990;26;25/06/1990;33.9;22.8;21.1;10
sj;1990;27;02/07/1990;33.9;24.4;1.1;6
sj;1990;28;09/07/1990;31.7;21.7;63.7;8
sj;1990;29;16/07/1990;32.8;23.9;12.2;2
sj;1990;30;23/07/1990;31.7;22.8;32.6;6
sj;1990;31;30/07/1990;34.4;22.8;37.6;17
sj;1990;32;06/08/1990;33.3;23.3;11.4;23
sj;1990;33;13/08/1990;32.8;22.8;44.7;13
sj;1990;34;20/08/1990;33.3;23.3;5.4;21
sj;1990;35;27/08/1990;32.2;24.4;13.7;28
sj;1990;36;03/09/1990;32.8;23.3;14.2;24
sj;1990;37;10/09/1990;33.9;24.4;25.9;20
sj;1990;38;17/09/1990;32.8;23.9;3.3;40
sj;1990;39;24/09/1990;32.8;24.4;15.8;27
sj;1990;40;01/10/1990;33.3;23.9;11.7;42
sj;1990;41;08/10/1990;33.3;24.4;57.7;33
sj;1990;42;15/10/1990;32.8;23.3;61.8;43
sj;1990;43;22/10/1990;32.2;21.7;91.5;37
sj;1990;44;29/10/1990;33.3;22.8;6.3;57
sj;1990;45;05/11/1990;33.3;23.9;6.6;71
sj;1990;46;12/11/1990;32.8;22.2;38.9;44
sj;1990;47;19/11/1990;31.7;22.2;9.6;56
sj;1990;48;26/11/1990;31.1;20.6;26.7;53
sj;1990;49;03/12/1990;29.4;22.2;69.0;52
sj;1990;50;10/12/1990;29.4;19.4;2.8;47
sj;1990;51;17/12/1990;30.6;21.1;19.8;26
sj;1990;52;24/12/1990;28.9;21.1;20.9;27
sj;1991;1;01/01/1991;29.4;18.9;5.3;21
sj;1991;2;08/01/1991;28.3;21.1;31.7;21
sj;1991;3;15/01/1991;29.4;21.1;16.5;26
sj;1991;4;22/01/1991;29.4;18.3;6.8;34
sj;1991;5;29/01/1991;30.0;18.9;5.9;37
sj;1991;6;05/02/1991;30.0;20.6;7.3;17
sj;1991;7;12/02/1991;32.2;18.9;5.6;19
sj;1991;8;19/02/1991;32.2;20.0;17.8;25
sj;1991;9;26/02/1991;30.6;20.0;30.7;18
sj;1991;10;05/03/1991;31.1;20.6;10.9;21
sj;1991;11;12/03/1991;31.7;20.6;3.6;17
sj;1991;12;19/03/1991;32.2;21.1;5.7;17
sj;1991;13;26/03/1991;32.2;22.2;26.9;16
sj;1991;14;02/04/1991;28.9;20.6;4.1;16
sj;1991;15;09/04/1991;28.9;21.1;18.8;15
sj;1991;16;16/04/1991;29.4;21.1;19.4;23
sj;1991;17;23/04/1991;32.8;21.7;3.5;16
sj;1991;18;30/04/1991;32.2;22.8;2.8;17
sj;1991;19;07/05/1991;31.7;22.8;40.2;12
sj;1991;20;14/05/1991;30.6;22.8;32.8;17
sj;1991;21;21/05/1991;31.7;22.8;3.6;10
sj;1991;22;28/05/1991;33.3;23.3;5.6;15
sj;1991;23;04/06/1991;33.3;23.3;20.6;19
sj;1991;24;11/06/1991;33.9;23.9;9.4;21
sj;1991;25;18/06/1991;33.9;25.0;3.3;14
sj;1991;26;25/06/1991;32.8;22.8;12.4;18
sj;1991;27;02/07/1991;32.8;23.9;24.7;13
sj;1991;28;09/07/1991;32.8;24.4;4.6;14
sj;1991;29;16/07/1991;33.9;23.9;12.2;18
sj;1991;30;23/07/1991;32.8;24.4;43.1;23
sj;1991;31;30/07/1991;33.3;25.0;18.0;25
sj;1991;32;06/08/1991;32.8;24.4;12.5;62
sj;1991;33;13/08/1991;33.3;25.6;3.3;60
sj;1991;34;20/08/1991;34.4;24.4;1.5;76
sj;1991;35;27/08/1991;32.2;23.9;10.7;66
sj;1991;36;03/09/1991;34.4;24.4;27.2;64
sj;1991;37;10/09/1991;33.9;23.3;61.0;68
sj;1991;38;17/09/1991;33.3;24.4;7.9;89
sj;1991;39;24/09/1991;32.8;24.4;31.8;92
sj;1991;40;01/10/1991;32.8;23.3;26.5;140
sj;1991;41;08/10/1991;31.7;22.8;8.3;116
sj;1991;42;15/10/1991;33.9;24.4;21.3;142
sj;1991;43;22/10/1991;32.8;23.3;3.5;129
sj;1991;44;29/10/1991;32.8;24.4;4.8;140
sj;1991;45;05/11/1991;32.2;22.8;41.4;140
sj;1991;46;12/11/1991;31.1;22.2;28.2;127
sj;1991;47;19/11/1991;30.0;22.2;9.4;129
sj;1991;48;26/11/1991;30.0;22.2;76.2;169
sj;1991;49;03/12/1991;30.6;23.3;19.6;141
sj;1991;50;10/12/1991;29.4;21.7;34.2;108
sj;1991;51;17/12/1991;28.9;20.6;6.1;78
sj;1991;52;24/12/1991;28.3;19.4;13.7;70
sj;1992;1;01/01/1992;;;;81
sj;1992;2;08/01/1992;30.6;20.6;58.2;104
sj;1992;3;15/01/1992;31.1;21.7;32.3;90
sj;1992;4;22/01/1992;30.6;20.0;1.3;85
sj;1992;5;29/01/1992;28.9;20.0;9.2;55
sj;1992;6;05/02/1992;30.6;20.0;3.0;53
sj;1992;7;12/02/1992;32.2;20.0;1.3;65
sj;1992;8;19/02/1992;33.9;21.7;8.9;33
sj;1992;9;26/02/1992;29.4;21.7;16.0;38
sj;1992;10;04/03/1992;31.1;20.6;2.9;59
sj;1992;11;11/03/1992;31.7;21.7;5.9;40
sj;1992;12;18/03/1992;31.1;21.7;4.8;37
sj;1992;13;25/03/1992;32.2;22.2;2.3;29
sj;1992;14;01/04/1992;31.1;21.7;24.1;30
sj;1992;15;08/04/1992;32.8;21.7;0.0;30
sj;1992;16;15/04/1992;31.7;22.8;24.5;28
sj;1992;17;22/04/1992;31.7;22.2;4.6;23
sj;1992;18;29/04/1992;33.9;23.3;1.6;24
sj;1992;19;06/05/1992;33.9;22.2;32.0;29
sj;1992;20;13/05/1992;31.1;22.8;8.1;26
sj;1992;21;20/05/1992;32.8;23.3;22.1;23
sj;1992;22;27/05/1992;31.7;23.9;80.2;20
sj;1992;23;03/06/1992;31.7;22.8;103.9;19
sj;1992;24;10/06/1992;32.8;24.4;102.4;20
sj;1992;25;17/06/1992;32.8;24.4;29.8;26
sj;1992;26;24/06/1992;32.8;23.9;5.4;29
sj;1992;27;01/07/1992;33.3;25.6;3.1;31
sj;1992;28;08/07/1992;32.8;24.4;1.8;28
sj;1992;29;15/07/1992;31.7;23.9;45.2;26
sj;1992;30;22/07/1992;31.7;23.3;41.0;32
sj;1992;31;29/07/1992;32.2;22.8;14.2;35
sj;1992;32;05/08/1992;31.7;23.3;16.6;33
sj;1992;33;12/08/1992;31.7;22.8;41.9;30
sj;1992;34;19/08/1992;33.9;24.4;42.7;52
sj;1992;35;26/08/1992;32.2;23.9;3.1;59
sj;1992;36;02/09/1992;34.4;24.4;6.5;67
sj;1992;37;09/09/1992;32.2;23.9;23.6;65
sj;1992;38;16/09/1992;32.8;23.9;28.9;74
sj;1992;39;23/09/1992;32.8;23.3;60.9;70
sj;1992;40;30/09/1992;33.3;23.3;22.6;61
sj;1992;41;07/10/1992;35.0;23.9;0.0;53
sj;1992;42;14/10/1992;33.3;25.0;8.0;76
sj;1992;43;21/10/1992;32.8;23.9;11.9;61
sj;1992;44;28/10/1992;33.3;23.9;18.6;57
sj;1992;45;04/11/1992;33.3;22.2;14.2;44
sj;1992;46;11/11/1992;31.7;22.8;161.0;34
sj;1992;47;18/11/1992;31.1;22.2;26.1;47
sj;1992;48;25/11/1992;32.8;23.3;46.3;60
sj;1992;49;02/12/1992;31.1;22.2;62.6;60
sj;1992;50;09/12/1992;31.1;22.2;9.4;53
sj;1992;51;16/12/1992;32.2;21.7;47.5;36
sj;1992;52;23/12/1992;29.4;21.7;5.5;31
sj;1993;53;01/01/1993;;;;30
sj;1993;1;08/01/1993;30.6;21.7;28.0;32
sj;1993;2;15/01/1993;28.3;20.6;23.5;28
sj;1993;3;22/01/1993;30.0;20.0;6.6;33
sj;1993;4;29/01/1993;28.9;20.0;15.2;33
sj;1993;5;05/02/1993;31.7;19.4;9.4;35
sj;1993;6;12/02/1993;30.0;20.6;2.1;22
sj;1993;7;19/02/1993;31.7;20.6;2.8;13
sj;1993;8;26/02/1993;32.2;20.6;5.5;13
sj;1993;9;05/03/1993;30.0;21.1;2.3;21
sj;1993;10;12/03/1993;29.4;19.4;2.5;17
sj;1993;11;19/03/1993;33.3;21.1;0.5;11
sj;1993;12;26/03/1993;31.1;20.6;12.8;8
sj;1993;13;02/04/1993;32.8;22.2;4.1;8
sj;1993;14;09/04/1993;32.8;21.1;4.6;6
sj;1993;15;16/04/1993;33.3;22.2;11.7;6
sj;1993;16;23/04/1993;31.1;21.7;8.4;7
sj;1993;17;30/04/1993;32.8;22.2;28.3;12
sj;1993;18;07/05/1993;32.2;22.2;114.3;17
sj;1993;19;14/05/1993;31.1;22.8;18.3;10
sj;1993;20;21/05/1993;33.9;23.3;4.6;10
sj;1993;21;28/05/1993;33.9;23.3;32.1;18
sj;1993;22;04/06/1993;31.1;22.8;58.3;19
sj;1993;23;11/06/1993;34.4;25.0;1.3;12
sj;1993;24;18/06/1993;32.2;23.3;57.9;22
sj;1993;25;25/06/1993;33.3;22.2;60.4;12
sj;1993;26;02/07/1993;32.8;25.0;7.2;21
sj;1993;27;09/07/1993;32.8;24.4;21.0;18
sj;1993;28;16/07/1993;32.2;22.2;92.2;16
sj;1993;29;23/07/1993;33.3;24.4;13.0;16
sj;1993;30;30/07/1993;32.2;22.2;71.4;22
sj;1993;31;06/08/1993;32.8;24.4;0.8;17
sj;1993;32;13/08/1993;32.8;25.0;18.1;25
sj;1993;33;20/08/1993;33.9;24.4;12.7;23
sj;1993;34;27/08/1993;33.3;24.4;17.1;12
sj;1993;35;03/09/1993;32.8;24.4;28.8;25
sj;1993;36;10/09/1993;32.8;23.3;43.4;28
sj;1993;37;17/09/1993;32.8;23.9;23.1;27
sj;1993;38;24/09/1993;32.8;23.3;8.7;18
sj;1993;39;01/10/1993;32.8;23.9;26.7;23
sj;1993;40;08/10/1993;33.3;23.3;16.8;23
sj;1993;41;15/10/1993;32.2;24.4;27.0;29
sj;1993;42;22/10/1993;33.3;23.9;6.4;38
sj;1993;43;29/10/1993;32.8;23.9;25.4;36
sj;1993;44;05/11/1993;32.8;23.3;4.1;43
sj;1993;45;12/11/1993;32.8;23.3;6.7;46
sj;1993;46;19/11/1993;31.7;22.8;48.8;31
sj;1993;47;26/11/1993;31.7;22.2;46.4;25
sj;1993;48;03/12/1993;33.3;21.1;5.5;40
sj;1993;49;10/12/1993;30.6;21.1;20.8;31
sj;1993;50;17/12/1993;31.1;21.1;7.7;38
sj;1993;51;24/12/1993;31.7;21.7;37.6;30
sj;1994;52;01/01/1994;32.8;21.7;0.3;22
sj;1994;1;08/01/1994;29.4;21.1;41.0;31
sj;1994;2;15/01/1994;29.4;21.1;13.4;26
sj;1994;3;22/01/1994;30.0;20.0;26.6;35
sj;1994;4;29/01/1994;29.4;20.6;9.7;36
sj;1994;5;05/02/1994;30.0;20.6;3.6;39
sj;1994;6;12/02/1994;29.4;21.1;9.1;25
sj;1994;7;19/02/1994;30.6;21.1;9.7;31
sj;1994;8;26/02/1994;30.6;20.6;7.9;37
sj;1994;9;05/03/1994;30.6;20.6;16.2;33
sj;1994;10;12/03/1994;31.1;21.7;15.8;25
sj;1994;11;19/03/1994;31.1;21.1;16.8;24
sj;1994;12;26/03/1994;32.8;20.6;0.0;18
sj;1994;13;02/04/1994;33.3;21.1;1.0;23
sj;1994;14;09/04/1994;31.1;21.7;2.3;13
sj;1994;15;16/04/1994;30.0;21.1;16.7;18
sj;1994;16;23/04/1994;30.0;22.2;28.7;14
sj;1994;17;30/04/1994;31.7;22.2;13.2;17
sj;1994;18;07/05/1994;33.3;22.8;10.5;22
sj;1994;19;14/05/1994;31.7;23.9;3.3;13
sj;1994;20;21/05/1994;33.3;22.8;29.3;24
sj;1994;21;28/05/1994;33.9;24.4;6.9;31
sj;1994;22;04/06/1994;33.3;23.3;1.6;34
sj;1994;23;11/06/1994;32.8;23.3;67.3;31
sj;1994;24;18/06/1994;32.8;24.4;5.4;31
sj;1994;25;25/06/1994;32.8;23.9;23.4;38
sj;1994;26;02/07/1994;32.8;23.9;10.2;49
sj;1994;27;09/07/1994;32.2;23.9;19.5;42
sj;1994;28;16/07/1994;32.2;23.9;28.7;49
sj;1994;29;23/07/1994;32.8;23.9;9.8;55
sj;1994;30;30/07/1994;33.3;24.4;1.0;80
sj;1994;31;06/08/1994;33.3;23.9;48.5;84
sj;1994;32;13/08/1994;33.3;23.9;3.6;72
sj;1994;33;20/08/1994;33.3;24.4;20.4;89
sj;1994;34;27/08/1994;32.8;24.4;4.3;115
sj;1994;35;03/09/1994;33.9;25.6;11.0;179
sj;1994;36;10/09/1994;33.3;24.4;14.4;202
sj;1994;37;17/09/1994;34.4;23.9;50.8;272
sj;1994;38;24/09/1994;32.2;24.4;34.3;302
sj;1994;39;01/10/1994;33.9;23.3;31.5;395
sj;1994;40;08/10/1994;34.4;24.4;8.2;426
sj;1994;41;15/10/1994;35.0;23.9;39.2;461
sj;1994;42;22/10/1994;35.0;23.9;5.4;381
sj;1994;43;29/10/1994;32.8;23.3;39.2;333
sj;1994;44;05/11/1994;32.2;24.4;1.9;353
sj;1994;45;12/11/1994;31.7;22.2;54.5;410
sj;1994;46;19/11/1994;32.8;22.2;47.5;364
sj;1994;47;26/11/1994;33.9;23.3;49.3;359
sj;1994;48;03/12/1994;31.7;21.1;35.9;288
sj;1994;49;10/12/1994;30.0;22.2;58.2;221
sj;1994;50;17/12/1994;31.7;21.7;7.4;149
sj;1994;51;24/12/1994;31.7;22.2;12.9;112
