Country;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Belgium;34.770;35.210;35.950;36.960;37.960;39.130;40.260;41.660;39.930;43.840;47.440;49.540
Bulgaria;5.780;5.790;5.960;6.380;6.840;7.420;8.000;8.820;8.880;10.330;13.270;14.580
Czechia;15.470;15.170;15.000;16.080;16.790;18.330;19.850;21.150;20.170;22.270;25.850;28.540
Denmark;45.530;46.100;47.090;48.050;49.420;51.140;52.180;53.210;53.410;58.590;64.450;62.990
Germany;34.130;34.860;36.150;37.050;38.070;39.530;40.590;41.810;40.930;43.480;46.260;48.750
Estonia;13.520;14.320;15.240;15.710;16.530;18.120;19.660;21.100;20.640;23.430;27.040;27.590
Ireland;38.110;38.810;42.010;56.120;56.800;62.160;67.370;72.320;75.350;86.490;98.990;95.290
Greece;17.060;16.410;16.270;16.300;16.190;16.450;16.730;17.100;15.420;17.060;19.530;20.920
Spain;22.050;21.910;22.230;23.230;23.990;24.980;25.760;26.440;23.630;25.820;28.280;30.320
France;31.820;32.080;32.420;33.020;33.430;34.230;35.040;35.980;34.080;36.670;38.550;40.800
Croatia;10.470;10.470;10.410;10.780;11.370;12.130;12.930;13.710;12.490;14.770;17.400;18.400
Italy;26.990;26.740;26.980;27.480;28.210;28.940;29.580;30.080;27.950;30.810;33.260;34.260
Cyprus;22.570;20.930;20.510;21.170;22.330;23.630;24.910;26.280;24.760;27.690;30.430;32.100
Latvia;10.870;11.320;11.850;12.430;12.950;13.900;15.130;15.980;15.840;17.710;20.350;21.420
Lithuania;11.180;11.850;12.480;12.860;13.560;14.950;16.250;17.520;17.840;20.110;23.800;25.090
Luxembourg;87.540;90.030;92.760;95.090;96.230;97.440;98.750;100.450;102.230;112.860;118.310;118.770
Hungary;10.110;10.330;10.770;11.460;11.850;12.980;13.920;15.000;14.140;15.860;17.440;20.490
Malta;17.540;18.680;20.170;22.490;23.190;25.540;26.930;28.330;25.910;29.570;32.770;35.340
Netherlands;38.970;39.300;39.820;40.730;41.590;43.090;44.920;46.880;45.670;49.650;54.150;57.770
Austria;37.820;38.210;38.990;39.890;40.920;42.000;43.590;44.740;42.720;45.270;49.400;52.250
Poland;10.000;10.090;10.560;11.180;11.050;12.120;12.990;13.870;13.720;15.100;17.300;19.840
Portugal;16.010;16.300;16.640;17.350;18.060;19.020;19.950;20.840;19.470;20.990;23.530;25.760
Romania;6.950;7.150;7.560;8.090;8.500;9.510;10.580;11.560;11.430;12.630;14.920;16.960
Slovenia;17.630;17.700;18.250;18.830;19.590;20.820;22.140;23.260;22.370;24.800;27.050;29.750
Slovakia;13.620;13.760;14.090;14.780;14.960;15.570;16.500;17.320;17.110;18.430;19.980;22.090
Finland;37.130;37.570;37.880;38.570;39.580;41.080;42.320;43.440;43.040;45.230;48.170;49.700
Sweden;45.170;46.020;45.260;46.480;46.990;47.730;46.260;46.390;46.420;51.910;53.570;52.040
Iceland;35.800;37.470;41.150;47.750;56.070;63.830;63.050;61.130;51.700;58.570;71.460;72.860
Liechtenstein;126.380;128.380;133.180;148.440;147.270;148.690;146.100;146.830;142.470;164.150;172.900;182.900
Norway;79.510;77.920;73.670;67.390;64.060;67.520;70.150;68.270;60.020;78.670;103.540;81.000
Switzerland;66.780;65.730;66.920;75.530;74.260;72.860;72.150;75.150;75.330;78.990;88.620;91.780
Montenegro;5.130;5.410;5.560;5.870;6.350;6.910;7.490;7.960;6.740;8.000;9.600;9.800
Serbia;4.680;5.080;4.970;5.040;5.210;5.590;6.140;6.620;6.790;7.810;9.070;10.500
