Year;Wind ;Hydropower;Solar;Other renewables including bioenergy
1980;0.0105;1731.64;0;49.72
1981;0.0105;1768.90;0;53.48
1982;0.0185;1800.90;0;61.70
1983;0.03279495;1877.76;0.003;68.35
1984;0.044755556;1941.37;0.006311111;76.34
1985;0.064220205;1979.24;0.011747475;78.69
1986;0.13883132;2006.06;0.015183838;85.43
1987;0.19537677;2033.18;0.01060303;91.51
1988;0.3315798;2098.35;0.01019596;94.15
1989;2.64;2087.58;0.26222324;104.66
1990;3.63;2158.85;0.38834995;117.21
1991;4.08;2208.70;0.5053229;122.25
1992;4.73;2208.45;0.4666791;131.14
1993;5.70;2341.45;0.5566775;135.47
1994;7.13;2356.20;0.5969829;140.66
1995;8.27;2483.68;0.63888276;146.63
1996;9.21;2517.03;0.69922996;150.69
1997;12.02;2561.35;0.7496558;161.40
1998;15.92;2581.12;0.811852;168.20
1999;21.22;2600.65;0.9052879;176.63
2000;31.22;2622.75;1.08;201.73
2001;38.23;2562.04;1.39;195.87
2002;52.2;2603.71;1.72;210.18
2003;63.43;2604.07;2.12;223.81
2004;85.5;2797.91;2.79;242.13
2005;104.46;2899.96;3.92;265.02
2006;133.19;3005.6;5.33;279.33
2007;171.28;3049.19;7.21;303.22
2008;220.45;3233.46;11.72;323.41
2009;276.31;3227.8;19.61;346.00
2010;345.93;3420.53;32.08;385.73
2011;439.81;3482.6;63.09;404.23
2012;529.32;3651.8;96.02;434.61
2013;640.83;3781.05;131.83;469.34
2014;715.91;3863.29;198.01;508.81
2015;828.6;3872.76;255.79;550.96
2016;958.37;4002.08;327.97;559.63
2017;1136.53;4049.94;444.57;593.5
2018;1267.3;4179.76;572.23;627.14
2019;1418.16;4215.31;702.84;657.24
2020;1588.84;4339.53;846.92;693.45
2021;1848.28;4246.1;1047.06;750.28
2022;2098.46;4288.59;1310.02;771.91
