 Yr, Mn,    Date,      Date,     CO2, seasonally,        fit,  seasonally,      CO2, seasonally, Sta
2015, 01,   42019,  2015.0411,  399.95,   399.88,     399.85,   399.77,     399.95,   399.88, MLO
2015, 02,   42050,  2015.1260,  400.40,   399.64,     400.72,   399.95,     400.40,   399.64, MLO
2015, 03,   42078,  2015.2027,  401.60,   400.10,     401.63,   400.11,     401.60,   400.10, MLO
2015, 04,   42109,  2015.2877,  403.52,   400.81,     403.04,   400.31,     403.52,   400.81, MLO
2015, 05,   42139,  2015.3699,  404.04,   400.70,     403.84,   400.51,     404.04,   400.70, MLO
2015, 06,   42170,  2015.4548,  402.81,   400.28,     403.24,   400.73,     402.81,   400.28, MLO
2015, 07,   42200,  2015.5370,  401.54,   400.75,     401.71,   400.96,     401.54,   400.75, MLO
2015, 08,   42231,  2015.6219,  398.93,   400.45,     399.66,   401.22,     398.93,   400.45, MLO
2015, 09,   42262,  2015.7068,  397.43,   400.86,     398.06,   401.51,     397.43,   400.86, MLO
2015, 10,   42292,  2015.7890,  398.22,   401.76,     398.27,   401.80,     398.22,   401.76, MLO
2015, 11,   42323,  2015.8740,  400.17,   402.39,     399.92,   402.11,     400.17,   402.39, MLO
2015, 12,   42353,  2015.9562,  401.82,   402.72,     401.54,   402.42,     401.82,   402.72, MLO
2016, 01,   42384,  2016.0410,  402.57,   402.50,     402.81,   402.74,     402.57,   402.50, MLO
2016, 02,   42415,  2016.1257,  404.10,   403.34,     403.81,   403.05,     404.10,   403.34, MLO
2016, 03,   42444,  2016.2049,  404.79,   403.26,     404.87,   403.32,     404.79,   403.26, MLO
2016, 04,   42475,  2016.2896,  407.48,   404.74,     406.37,   403.60,     407.48,   404.74, MLO
2016, 05,   42505,  2016.3716,  407.60,   404.25,     407.20,   403.85,     407.60,   404.25, MLO
2016, 06,   42536,  2016.4563,  406.94,   404.43,     406.58,   404.09,     406.94,   404.43, MLO
2016, 07,   42566,  2016.5383,  404.43,   403.67,     405.04,   404.31,     404.43,   403.67, MLO
2016, 08,   42597,  2016.6230,  402.16,   403.72,     402.95,   404.54,     402.16,   403.72, MLO
2016, 09,   42628,  2016.7077,  400.94,   404.39,     401.29,   404.76,     400.94,   404.39, MLO
2016, 10,   42658,  2016.7896,  401.43,   404.98,     401.43,   404.97,     401.43,   404.98, MLO
2016, 11,   42689,  2016.8743,  403.57,   405.79,     402.99,   405.18,     403.57,   405.79, MLO
2016, 12,   42719,  2016.9563,  404.49,   405.39,     404.49,   405.37,     404.49,   405.39, MLO
2017, 01,   42750,  2017.0411,  406.00,   405.93,     405.64,   405.57,     406.00,   405.93, MLO
2017, 02,   42781,  2017.1260,  406.57,   405.81,     406.52,   405.75,     406.57,   405.81, MLO
2017, 03,   42809,  2017.2027,  406.99,   405.48,     407.43,   405.91,     406.99,   405.48, MLO
2017, 04,   42840,  2017.2877,  408.88,   406.16,     408.82,   406.08,     408.88,   406.16, MLO
2017, 05,   42870,  2017.3699,  409.84,   406.48,     409.59,   406.24,     409.84,   406.48, MLO
2017, 06,   42901,  2017.4548,  409.04,   406.50,     408.92,   406.40,     409.04,   406.50, MLO
2017, 07,   42931,  2017.5370,  407.14,   406.35,     407.31,   406.55,     407.14,   406.35, MLO
2017, 08,   42962,  2017.6219,  405.19,   406.72,     405.14,   406.71,     405.19,   406.72, MLO
2017, 09,   42993,  2017.7068,  403.20,   406.65,     403.40,   406.86,     403.20,   406.65, MLO
2017, 10,   43023,  2017.7890,  403.56,   407.13,     403.47,   407.02,     403.56,   407.13, MLO
2017, 11,   43054,  2017.8740,  405.10,   407.33,     404.97,   407.17,     405.10,   407.33, MLO
2017, 12,   43084,  2017.9562,  406.68,   407.59,     406.43,   407.32,     406.68,   407.59, MLO
2018, 01,   43115,  2018.0411,  407.98,   407.91,     407.56,   407.48,     407.98,   407.91, MLO
2018, 02,   43146,  2018.1260,  408.35,   407.59,     408.41,   407.64,     408.35,   407.59, MLO
2018, 03,   43174,  2018.2027,  409.21,   407.70,     409.32,   407.79,     409.21,   407.70, MLO
2018, 04,   43205,  2018.2877,  410.23,   407.49,     410.72,   407.97,     410.23,   407.49, MLO
2018, 05,   43235,  2018.3699,  411.23,   407.87,     411.52,   408.16,     411.23,   407.87, MLO
2018, 06,   43266,  2018.4548,  410.81,   408.26,     410.91,   408.38,     410.81,   408.26, MLO
2018, 07,   43296,  2018.5370,  408.83,   408.04,     409.37,   408.61,     408.83,   408.04, MLO
2018, 08,   43327,  2018.6219,  407.02,   408.56,     407.29,   408.86,     407.02,   408.56, MLO
2018, 09,   43358,  2018.7068,  405.53,   408.99,     405.65,   409.13,     405.53,   408.99, MLO
2018, 10,   43388,  2018.7890,  405.93,   409.50,     405.83,   409.39,     405.93,   409.50, MLO
2018, 11,   43419,  2018.8740,  408.05,   410.29,     407.45,   409.66,     408.05,   410.29, MLO
2018, 12,   43449,  2018.9562,  409.16,   410.07,     409.03,   409.92,     409.16,   410.07, MLO
2019, 01,   43480,  2019.0411,  410.85,   410.79,     410.26,   410.18,     410.85,   410.79, MLO
2019, 02,   43511,  2019.1260,  411.58,   410.81,     411.20,   410.42,     411.58,   410.81, MLO
